lat,lon,ele,name,text_date,text_time,t
27.930059,98.67235,1487.84,,2019-11-10,10:35:18,38118
27.929847,98.673064,1489.68,,2019-11-10,10:35:21,38121
27.929648,98.673756,1489.91,,2019-11-10,10:35:24,38124
27.929368,98.674388,1491.33,,2019-11-10,10:35:27,38127
27.928993,98.674936,1494.14,,2019-11-10,10:35:30,38130
27.928606,98.675481,1495.98,,2019-11-10,10:35:33,38133
27.928207,98.676074,1498.06,,2019-11-10,10:35:36,38136
27.927774,98.676674,1494.46,,2019-11-10,10:35:39,38139
27.927311,98.677182,1493.63,,2019-11-10,10:35:42,38142
27.927151,98.677349,1494.36,,2019-11-10,10:35:45,38145
27.927161,98.67727,1490.66,,2019-11-10,10:35:48,38148
27.92693,98.677382,1490.36,,2019-11-10,10:35:51,38151
27.926457,98.677634,1489.04,,2019-11-10,10:35:54,38154
27.926013,98.677707,1488.58,,2019-11-10,10:35:57,38157
27.925493,98.677566,1485.61,,2019-11-10,10:36:00,38160
27.924935,98.677367,1480.87,,2019-11-10,10:36:03,38163
27.924444,98.677121,1479.09,,2019-11-10,10:36:06,38166
27.924041,98.67679,1476.19,,2019-11-10,10:36:09,38169
27.923579,98.67642,1473.12,,2019-11-10,10:36:12,38172
27.923024,98.676098,1474.69,,2019-11-10,10:36:15,38175
27.922442,98.675721,1473.76,,2019-11-10,10:36:18,38178
27.921858,98.675303,1475.25,,2019-11-10,10:36:21,38181
27.921282,98.674876,1476.07,,2019-11-10,10:36:24,38184
27.920824,98.67448,1475.15,,2019-11-10,10:36:27,38187
27.920352,98.674186,1475.28,,2019-11-10,10:36:30,38190
27.919862,98.67386,1475.51,,2019-11-10,10:36:33,38193
27.919354,98.673488,1476.75,,2019-11-10,10:36:36,38196
27.91881,98.673115,1478.74,,2019-11-10,10:36:39,38199
27.918252,98.672696,1480.13,,2019-11-10,10:36:42,38202
27.917733,98.672209,1480.51,,2019-11-10,10:36:45,38205
27.917283,98.671704,1484.4,,2019-11-10,10:36:48,38208
27.916817,98.671217,1485.08,,2019-11-10,10:36:51,38211
27.916308,98.67072,1483.13,,2019-11-10,10:36:54,38214
27.915762,98.670234,1481.25,,2019-11-10,10:36:57,38217
